Lesson,단어,단어 뜻,예문 (영어),예문 (한국어)
Lesson 1,bird,새,A bird is in the tree.,새가 나무에 있다.
Lesson 1,idea,생각,Matt has a good idea.,맷에게 좋은 생각이 있다.
Lesson 1,wing,날개,Chickens have wings.,닭은 날개를 가지고 있다.
Lesson 1,fly,날다,Spiderman can’t fly.,스파이더맨은 날 수 없다.
Lesson 1,wind,바람,The wind was strong.,바람이 강했다.
Lesson 1,car,자동차,Is this your car?,이것은 네 차니?
Lesson 1,sky,하늘,Look at the sky.,하늘을 봐.
Lesson 1,airplane,비행기,The airplane is in the sky.,비행기가 하늘에 있다.
Lesson 2,cousin,사촌,My cousins are kind.,내 사촌들은 친절하다.
Lesson 2,notebook,공책,Do you have a new notebook?,너는 새 공책이 있니?
Lesson 2,vacation,방학,I like summer vacation.,나는 여름 방학이 좋다.
Lesson 2,come,오다,Can you come here?,여기로 올 수 있니?
Lesson 2,museum,박물관,Where is the museum?,박물관이 어디에 있니?
Lesson 2,animal,동물,Kevin loves animals.,케빈은 동물을 정말 좋아한다.
Lesson 2,horse,말,What do horses eat?,말은 무엇을 먹니?
Lesson 3,white,흰,Look at that white rabbit.,저 흰 토끼를 봐.
Lesson 3,clean,깨끗한,My room is clean now.,내 방은 이제 깨끗하다.
Lesson 3,building,건물,The building is very old.,그 건물은 매우 오래되었다.
Lesson 3,prize,상,The prize was yellow socks.,상은 노란 양말이었다.
Lesson 3,을,위하여,Is this for your dad?,이것은 네 아빠를 위한 것이니?
Lesson 4,borrow,빌리다,Can I borrow your pencil?,네 연필을 빌릴 수 있을까?
Lesson 4,tomorrow,내일,Let's meet at two tomorrow.,내일 두 시에 만나자.
Lesson 4,sleep,자다,It's time to sleep.,잘 시간이다.
Lesson 4,wet,젖은,My shoes are wet.,내 신발이 젖었다.
Lesson 4,hello,안녕하세요,"Hello, my name is Susan.","안녕하세요, 제 이름은 수잔입니다."
Lesson 4,early,일찍,I get up early in the morning.,나는 아침에 일찍 일어난다.
Lesson 4,farm,농장,Are there many cows on the farm?,그 농장에는 젖소가 많니?
Lesson 4,present,선물,This present is for you.,이 선물은 너를 위한 거야.
Lesson 5,여동,생,Is your sister cute?,네 여동생은 귀엽니?
Lesson 5,name,이름,Her name is Lucy.,그녀의 이름은 루시야.
Lesson 5,show,보여 주다,Jamie showed his photos.,제이미는 그의 사진들을 보여 주었다.
Lesson 5,story,이야기,The story was fun.,그 이야기는 재미있었다.
Lesson 5,daughter,딸,Do they have a daughter?,그들은 딸이 한 명 있니?
Lesson 5,겁내,는,Don't be afraid.,겁내지 마.
Lesson 5,writer,작가,The writer is reading a book.,그 작가는 책을 읽고 있다.
Lesson 6,day,날,Do you like rainy days?,너는 비 오는 날을 좋아하니?
Lesson 6,place,장소,It's a good place for a picnic.,그곳은 소풍을 가기 좋은 장소이다.
Lesson 6,deep,깊은,Don’t swim in deep water.,깊은 물 속에서 수영하지 마라.
Lesson 6,sing,노래하다,The birds are singing in the tree.,새들이 나무에서 노래하고 있다.
Lesson 6,another,다른,"Give me another spoon, please.",다른 숟가락을 주세요.
Lesson 6,musical,뮤지컬,The musical was sad.,그 뮤지컬은 슬펐다.
Lesson 6,actress,여배우,Is the actress kind?,그 여배우는 친절하니?
Lesson 6,환영,해,Welcome to my birthday party!,그 여배우는 친절하니?
Lesson 7,first,첫 번째의,It was her first birthday party.,그것은 그녀의 첫 번째 생일 파티였다.
Lesson 7,boring,지루한,This book is boring.,이 책은 지루하다.
Lesson 7,find,찾다,Did you find the eraser?,너는 그 지우개를 찾았니?
Lesson 7,boots,부츠,My boots are blue.,내 부츠는 파란색이다.
Lesson 7,hear,듣다,Can you hear me?,내 말이 들리니?
Lesson 7,but,하지만,I'm short but my sister is tall.,나는 키가 작지만 우리 언니는 키가 크다.
Lesson 7,fun,재미있는,Riding a bike is fun.,자전거 타는 것은 재미있다.
Lesson 8,problem,문제,What is the problem?,문제가 뭐니?
Lesson 8,woman,여자,The woman found my key.,그 여자가 내 열쇠를 찾았다.
Lesson 8,beautiful,아름다운,These flowers are beautiful.,이 꽃들은 아름답다.
Lesson 8,한,기분이 들다,I feel happy today.,나는 오늘 행복한 기분이 든다.
Lesson 8,street,거리,She was walking on the street.,그녀는 거리를 걷고 있었다.
Lesson 8,hat,모자,Where is my hat?,내 모자가 어디에 있니?
Lesson 8,clothes,옷,Tony bought new clothes today.,토니는 오늘 새 옷을 샀다.
Lesson 8,wear,입다,Kate doesn’t wear a skirt.,케이트는 치마를 입지 않는다.
Lesson 9,computer,컴퓨터,Can you use a computer?,너는 컴퓨터를 사용할 수 있니?
Lesson 9,small,작은,Jane is making a small doll.,제인은 작은 인형을 만들고 있다.
Lesson 9,difficult,어려운,The math test was very difficult.,수학 시험은 매우 어려웠다.
Lesson 9,time,시간,We don't have much time.,우리는 시간이 많지 않다.
Lesson 10,anything,무엇이든,I can do anything for you.,나는 너를 위해 무엇이든 할 수 있어.
Lesson 10,autumn,가을,I read many books in autumn.,나는 가을에 책을 많이 읽는다.
